feature	coef_mean	coef_sd	ci_lower	ci_upper	ci_excludes_zero
PG_speech_ratio	0.035665	0.013118	0.011456	0.061932	True
PG_pause_mean	-0.00216	0.009683	-0.020325	0.01872	False
PG_pause_p50	-0.019989	0.012364	-0.044273	0.004836	False
PG_pause_p90	-0.008838	0.010527	-0.029537	0.011144	False
PG_resp_gap_mean	-0.008988	0.011278	-0.032409	0.012775	False
PG_resp_gap_p50	-0.02799	0.01727	-0.061255	0.004525	False
PG_resp_gap_p90	0.007082	0.015412	-0.023721	0.035889	False
PG_overlap_rate	0.021421	0.018847	-0.014495	0.059338	False
FILL_has_any	0.042603	0.011101	0.020217	0.064774	True
FILL_rate_per_100chars	0.0155	0.014489	-0.014905	0.044106	False
IX_oirmarker_rate	0.019437	0.016081	-0.01348	0.051044	False
IX_oirmarker_after_question_rate	0.037361	0.013498	0.010197	0.063359	True
IX_yesno_rate	0.039995	0.013692	0.012863	0.066528	True
IX_yesno_after_question_rate	0.024624	0.01375	-0.004477	0.052109	False
IX_lex_overlap_mean	-0.045065	0.016985	-0.080919	-0.015872	True
RESP_NE_AIZUCHI_RATE	0.027047	0.015244	-0.000817	0.058612	False
RESP_NE_ENTROPY	0.009653	0.014334	-0.01789	0.037307	False
RESP_YO_ENTROPY	0.003612	0.018522	-0.033121	0.037793	False
PG_pause_variability	0.001214	0.016812	-0.030886	0.033824	False
