feature	coef_obs	p_value	significant
PG_speech_ratio	0.036996	0.0146	True
PG_pause_mean	-0.001379	0.9018	False
PG_pause_p50	-0.020143	0.1646	False
PG_pause_p90	-0.009113	0.5209	False
PG_resp_gap_mean	-0.007585	0.5769	False
PG_resp_gap_p50	-0.030972	0.104	False
PG_resp_gap_p90	0.010974	0.4971	False
PG_overlap_rate	0.022017	0.2573	False
FILL_has_any	0.044116	0.0058	True
FILL_rate_per_100chars	0.015331	0.3741	False
IX_oirmarker_rate	0.019966	0.2983	False
IX_oirmarker_after_question_rate	0.040171	0.0304	True
IX_yesno_rate	0.041826	0.0072	True
IX_yesno_after_question_rate	0.025156	0.1628	False
IX_lex_overlap_mean	-0.044807	0.0322	True
RESP_NE_AIZUCHI_RATE	0.028446	0.1666	False
RESP_NE_ENTROPY	0.010111	0.6329	False
RESP_YO_ENTROPY	0.00454	0.8164	False
PG_pause_variability	0.002329	0.9094	False
