file_id,cohort,U,T,dm_per_utt,dm_per_1k,disf_per_utt,disf_per_1k,pron1_per_1k,pron2_per_1k,pron3_per_1k,msv_per_1k
td_Brown_010600b,TD,473,900,0.0042,2.22,0.1438,75.56,6.67,1.11,4.44,11.11
td_Brown_010700a,TD,253,550,0.0395,18.18,0.0988,45.45,14.55,5.45,10.91,5.45
td_Brown_010700b,TD,585,1134,0.012,6.17,0.1128,58.2,11.46,4.41,8.82,11.46
td_Brown_010800,TD,706,1559,0.0127,5.77,0.1218,55.16,3.85,2.57,10.9,2.57
td_Brown_010900a,TD,536,1520,0.0168,5.92,0.0933,32.89,9.21,6.58,9.21,2.63
td_Brown_010900b,TD,523,1302,0.0249,9.98,0.1491,59.91,16.13,3.07,14.59,2.3
td_Brown_011000a,TD,519,1593,0.0058,1.88,0.0751,24.48,29.5,5.65,20.72,2.51
td_Brown_011000b,TD,547,1677,0.0457,14.91,0.064,20.87,32.2,3.58,17.29,3.58
td_Brown_011100a,TD,447,1344,0.0179,5.95,0.0537,17.86,44.64,8.18,52.83,2.98
td_Brown_011100b,TD,641,2234,0.025,7.16,0.064,18.35,52.82,24.17,38.5,9.4
td_Brown_020000a,TD,456,1645,0.0132,3.65,0.0526,14.59,46.81,38.91,37.69,1.82
td_Brown_020000b,TD,476,1570,0.0546,16.56,0.0609,18.47,54.78,28.03,37.58,10.19
td_Brown_020100b,TD,641,2445,0.0218,5.73,0.0546,14.31,48.26,27.4,41.72,12.27
td_Brown_020300a,TD,653,2346,0.0613,17.05,0.1149,31.97,62.23,31.54,28.56,11.08
td_Brown_020300b,TD,539,1477,0.0204,7.45,0.2208,80.57,27.76,23.7,23.02,5.42
td_Brown_020307,TD,319,639,0.0094,4.69,0.2696,134.59,35.99,0.0,3.13,9.39
td_Brown_020319,TD,417,704,0.0336,19.89,0.2542,150.57,8.52,1.42,1.42,0.0
td_Brown_020326,TD,213,331,0.0141,9.06,0.3568,229.61,39.27,21.15,0.0,0.0
td_Brown_020328,TD,274,515,0.0073,3.88,0.4161,221.36,21.36,7.77,5.83,0.0
td_Brown_020410,TD,324,600,0.0154,8.33,0.2901,156.67,16.67,0.0,0.0,0.0
td_Brown_020412,TD,388,853,0.0077,3.52,0.4562,207.5,38.69,4.69,0.0,1.17
td_Brown_020417,TD,258,456,0.0039,2.19,0.3488,197.37,30.7,8.77,10.96,0.0
td_Brown_020419,TD,460,836,0.0065,3.59,0.3783,208.13,16.75,9.57,7.18,0.0
td_Brown_020426,TD,340,758,0.0,0.0,0.4647,208.44,32.98,6.6,6.6,0.0
td_Brown_020507,TD,306,605,0.0,0.0,0.2647,133.88,74.38,23.14,1.65,1.65
td_Brown_020515,TD,303,648,0.0066,3.09,0.3564,166.67,21.6,1.54,9.26,1.54
td_Brown_020525,TD,188,435,0.0053,2.3,0.4521,195.4,41.38,18.39,43.68,2.3
td_Brown_020603,TD,873,2520,0.0412,14.29,0.0263,9.13,16.27,7.14,19.84,1.19
td_Brown_020604,TD,198,291,0.0,0.0,0.3384,230.24,20.62,3.44,13.75,0.0
td_Brown_020617,TD,665,2199,0.0316,9.55,0.0466,14.1,28.65,7.73,25.47,5.91
td_Brown_020620,TD,489,1011,0.0348,16.82,0.2372,114.74,52.42,11.87,14.84,4.95
td_Brown_020701,TD,880,2506,0.033,11.57,0.0261,9.18,11.17,4.79,26.34,0.8
td_Brown_020705,TD,282,510,0.0142,7.84,0.2163,119.61,43.14,9.8,29.41,3.92
td_Brown_020712,TD,374,821,0.0348,15.83,0.2353,107.19,58.47,12.18,19.49,7.31
td_Brown_020718,TD,181,340,0.0221,11.76,0.2044,108.82,23.53,11.76,8.82,5.88
td_Brown_020728,TD,290,605,0.031,14.88,0.2448,117.36,24.79,39.67,14.88,1.65
td_Brown_020802,TD,348,780,0.0029,1.28,0.4483,200.0,46.15,20.51,10.26,7.69
td_Brown_020825a,TD,288,667,0.0208,9.0,0.2604,112.44,26.99,22.49,34.48,4.5
td_Brown_020900,TD,250,567,0.016,7.05,0.2,88.18,42.33,28.22,19.4,10.58
td_Brown_020904,TD,546,1510,0.0147,5.3,0.0311,11.26,2.65,12.58,34.44,3.97
td_Brown_020906,TD,338,835,0.0237,9.58,0.1538,62.28,44.31,20.36,26.35,11.98
td_Brown_020914,TD,283,497,0.0106,6.04,0.2191,124.75,50.3,14.08,8.05,22.13
td_Brown_020918,TD,590,1580,0.0288,10.76,0.022,8.23,8.86,16.46,37.34,6.96
td_Brown_020920,TD,585,1345,0.012,5.2,0.1333,57.99,49.07,41.64,50.56,19.33
td_Brown_020929,TD,212,482,0.0094,4.15,0.2028,89.21,53.94,6.22,45.64,24.9
td_Brown_021005,TD,352,930,0.0398,15.05,0.1761,66.67,70.97,29.03,32.26,40.86
td_Brown_021011,TD,211,453,0.0142,6.62,0.1659,77.26,70.64,11.04,44.15,13.25
td_Brown_021020,TD,223,592,0.0224,8.45,0.1659,62.5,91.22,37.16,16.89,25.34
td_Brown_021024,TD,318,694,0.0157,7.2,0.1226,56.2,63.4,15.85,14.41,14.41
td_Brown_021030,TD,861,2882,0.0279,8.33,0.0232,6.94,32.27,30.53,49.97,16.66
td_Brown_021102,TD,291,757,0.055,21.14,0.1237,47.56,85.87,14.53,22.46,26.42
td_Brown_021117,TD,552,1375,0.0163,6.55,0.2482,99.64,46.55,48.0,12.36,22.55
td_Brown_021123,TD,205,503,0.0439,17.89,0.2,81.51,49.7,31.81,17.89,33.8
td_Brown_021130,TD,208,405,0.0144,7.41,0.1394,71.6,41.98,14.81,32.1,22.22
td_Brown_030018a,TD,377,1094,0.0186,6.4,0.191,65.81,54.84,20.11,76.78,33.82
td_Brown_030018b,TD,258,755,0.0194,6.62,0.2054,70.2,88.74,21.19,15.89,47.68
td_Brown_030027,TD,300,800,0.0367,13.75,0.2433,91.25,55.0,23.75,32.5,12.5
td_Brown_030103,TD,233,650,0.0386,13.85,0.3176,113.85,73.85,7.69,47.69,18.46
td_Brown_030117,TD,280,745,0.0179,6.71,0.1214,45.64,63.09,10.74,24.16,13.42
td_Brown_030124,TD,309,914,0.0388,13.13,0.2104,71.12,66.74,3.28,44.86,4.38
td_Brown_030209,TD,843,3093,0.0119,3.23,0.0439,11.96,54.32,26.19,39.12,15.52
td_Brown_030210,TD,280,1014,0.0179,4.93,0.1679,46.35,54.24,16.77,53.25,0.99
td_Brown_030216,TD,299,1110,0.0401,10.81,0.1438,38.74,72.97,14.41,45.05,4.5
td_Brown_030223,TD,292,1129,0.0308,7.97,0.1301,33.66,74.4,23.03,35.43,1.77
td_Brown_030304,TD,919,3659,0.0316,7.93,0.0522,13.12,71.88,28.7,36.35,4.92
td_Brown_030307a,TD,276,793,0.0181,6.31,0.1848,64.31,59.27,29.0,45.4,5.04
td_Brown_030307b,TD,204,615,0.0147,4.88,0.1225,40.65,71.54,24.39,34.15,3.25
td_Brown_030313,TD,361,1538,0.0222,5.2,0.0776,18.21,53.97,2.6,14.3,15.6
td_Brown_030320,TD,243,873,0.0288,8.02,0.1811,50.4,59.56,9.16,38.95,14.89
td_Brown_030328,TD,242,752,0.0455,14.63,0.1612,51.86,42.55,11.97,18.62,5.32
td_Brown_030401,TD,285,1034,0.0421,11.61,0.1018,28.05,39.65,16.44,32.88,4.84
td_Brown_030409,TD,258,846,0.0349,10.64,0.1822,55.56,63.83,11.82,27.19,4.73
td_Brown_030416,TD,272,845,0.0331,10.65,0.1507,48.52,49.7,20.12,31.95,13.02
td_Brown_030418,TD,891,4167,0.0337,7.2,0.0123,2.64,59.52,18.24,60.24,9.6
td_Brown_030426,TD,286,846,0.035,11.82,0.1119,37.83,57.92,14.18,37.83,9.46
td_Brown_030501,TD,218,611,0.0092,3.27,0.2018,72.01,58.92,18.0,44.19,11.46
