file_id,ref_intro_per_utt,ref_maint_per_utt,ref_reintro_per_utt,ref_ambig_pron_per_utt
td_Brown_010600b,0.0275,0.1057,0.0719,0.019
td_Brown_010700a,0.0395,0.1581,0.0711,0.0277
td_Brown_010700b,0.0308,0.094,0.1009,0.0376
td_Brown_010800,0.0241,0.2068,0.0892,0.0241
td_Brown_010900a,0.0354,0.1903,0.1269,0.0504
td_Brown_010900b,0.0516,0.2371,0.1205,0.0191
td_Brown_011000a,0.0347,0.2486,0.1965,0.0058
td_Brown_011000b,0.0384,0.1865,0.117,0.0183
td_Brown_011100a,0.0336,0.1387,0.1275,0.0358
td_Brown_011100b,0.0359,0.1232,0.117,0.0858
td_Brown_020000a,0.0351,0.0987,0.0855,0.125
td_Brown_020000b,0.0525,0.0693,0.063,0.1744
td_Brown_020100b,0.039,0.0889,0.1232,0.1061
td_Brown_020300a,0.0459,0.1026,0.1011,0.1026
td_Brown_020300b,0.0334,0.0649,0.0538,0.0928
td_Brown_020307,0.0251,0.0564,0.0502,0.0313
td_Brown_020319,0.024,0.012,0.012,0.06
td_Brown_020326,0.0423,0.0516,0.0141,0.0282
td_Brown_020328,0.0255,0.0109,0.0365,0.0511
td_Brown_020410,0.0432,0.034,0.0185,0.0216
td_Brown_020412,0.0309,0.0103,0.0077,0.0773
td_Brown_020417,0.0543,0.0465,0.0504,0.0271
td_Brown_020419,0.037,0.0217,0.0261,0.0348
td_Brown_020426,0.05,0.0441,0.0265,0.0529
td_Brown_020507,0.0261,0.0196,0.0098,0.1307
td_Brown_020515,0.0462,0.0528,0.0165,0.0429
td_Brown_020525,0.0638,0.0851,0.0266,0.1011
td_Brown_020603,0.0229,0.079,0.0767,0.0527
td_Brown_020604,0.0404,0.0253,0.0152,0.0303
td_Brown_020617,0.0391,0.1263,0.0962,0.0496
td_Brown_020620,0.0225,0.0409,0.0245,0.09
td_Brown_020701,0.0205,0.0636,0.0852,0.05
td_Brown_020705,0.0496,0.0106,0.0177,0.0567
td_Brown_020712,0.0481,0.0481,0.0294,0.0989
td_Brown_020718,0.0608,0.0442,0.0221,0.0276
td_Brown_020728,0.0172,0.0069,0.0103,0.1483
td_Brown_020802,0.0374,0.0489,0.0259,0.0891
td_Brown_020825a,0.0382,0.0278,0.0312,0.0903
td_Brown_020900,0.024,0.0,0.012,0.172
td_Brown_020904,0.0385,0.0275,0.0385,0.1337
td_Brown_020906,0.0385,0.0799,0.0237,0.1538
td_Brown_020914,0.0212,0.0424,0.0247,0.106
td_Brown_020918,0.0153,0.0237,0.0288,0.1627
td_Brown_020920,0.0427,0.0444,0.0291,0.1385
td_Brown_020929,0.033,0.0,0.0047,0.184
td_Brown_021005,0.0455,0.0312,0.0199,0.2159
td_Brown_021011,0.0427,0.019,0.0142,0.218
td_Brown_021020,0.0583,0.0538,0.0135,0.2242
td_Brown_021024,0.0314,0.0283,0.0157,0.0943
td_Brown_021030,0.0279,0.0267,0.0499,0.2044
td_Brown_021102,0.0172,0.0137,0.0,0.2715
td_Brown_021117,0.0217,0.0145,0.0163,0.1721
td_Brown_021123,0.0634,0.0195,0.0049,0.2098
td_Brown_021130,0.1442,0.0865,0.0433,0.0865
td_Brown_030018a,0.0424,0.0371,0.0318,0.1592
td_Brown_030018b,0.031,0.0775,0.0465,0.0698
td_Brown_030027,0.1,0.0467,0.0267,0.1167
td_Brown_030103,0.0386,0.0386,0.0558,0.0815
td_Brown_030117,0.0429,0.0464,0.0464,0.0821
td_Brown_030124,0.0324,0.055,0.0615,0.0647
td_Brown_030209,0.0261,0.0297,0.0498,0.1851
td_Brown_030210,0.0643,0.0464,0.0286,0.1464
td_Brown_030216,0.0569,0.0234,0.01,0.2809
td_Brown_030223,0.0753,0.0137,0.0171,0.1678
td_Brown_030304,0.0305,0.0457,0.0348,0.2971
td_Brown_030307a,0.0652,0.058,0.0072,0.1558
td_Brown_030307b,0.0588,0.0196,0.0049,0.201
td_Brown_030313,0.0388,0.072,0.0665,0.1247
td_Brown_030320,0.0288,0.1317,0.0288,0.1152
td_Brown_030328,0.0496,0.0207,0.0083,0.1777
td_Brown_030401,0.0421,0.0175,0.0211,0.1614
td_Brown_030409,0.0814,0.0698,0.0426,0.1202
td_Brown_030416,0.0699,0.0257,0.0221,0.1471
td_Brown_030418,0.0224,0.0382,0.0415,0.3199
td_Brown_030426,0.0804,0.049,0.0455,0.0769
td_Brown_030501,0.0872,0.0596,0.0596,0.0505
td_Brown_030507,0.0315,0.0494,0.0449,0.1843
