file_id,n_total,n_CHI,n_INV,chi_ratio
asd_Flusberg_030400,559,181,0,0.324
asd_Flusberg_030610,641,154,0,0.24
asd_Flusberg_030806,682,204,0,0.299
asd_Flusberg_030900,277,124,0,0.448
asd_Flusberg_031009,554,119,0,0.215
asd_Flusberg_031020,616,282,0,0.458
asd_Flusberg_040028,647,274,0,0.423
asd_Flusberg_040029,1029,309,0,0.3
asd_Flusberg_040306,789,218,0,0.276
asd_Flusberg_040309,920,559,0,0.608
asd_Flusberg_040518,808,419,0,0.519
asd_Flusberg_040521,695,229,0,0.329
asd_Flusberg_040700,950,301,0,0.317
asd_Flusberg_040715,719,220,0,0.306
asd_Flusberg_040727,748,408,0,0.545
asd_Flusberg_041007,906,391,0,0.432
asd_Flusberg_050006,784,315,0,0.402
asd_Flusberg_050218,825,319,0,0.387
asd_Flusberg_050620,786,325,0,0.413
asd_Flusberg_050800,790,360,0,0.456
asd_Flusberg_050904,464,146,0,0.315
asd_Flusberg_051104,580,154,0,0.266
asd_Flusberg_060011,1310,538,0,0.411
asd_Flusberg_060107,995,300,0,0.302
asd_Flusberg_060207,1225,407,0,0.332
asd_Flusberg_060308,1335,564,0,0.422
asd_Flusberg_060406,1129,436,0,0.386
asd_Flusberg_060522,812,278,0,0.342
asd_Flusberg_060622,1270,506,0,0.398
asd_Flusberg_060818,1257,416,0,0.331
asd_Flusberg_060819,1076,470,0,0.437
asd_Flusberg_060900,747,262,0,0.351
asd_Flusberg_061012,1437,536,0,0.373
asd_Flusberg_061028,1065,486,0,0.456
asd_Flusberg_070013,673,275,0,0.409
asd_Flusberg_070101,976,368,0,0.377
asd_Flusberg_070106,966,295,0,0.305
asd_Flusberg_070215,915,284,0,0.31
asd_Flusberg_070301,1039,426,0,0.41
asd_Flusberg_070315,810,210,0,0.259
asd_Flusberg_070503,753,211,0,0.28
asd_Flusberg_070516,1165,376,0,0.323
asd_Flusberg_070517,637,287,0,0.451
asd_Flusberg_070700,805,264,0,0.328
asd_Flusberg_070726,1315,544,0,0.414
asd_Flusberg_070812,1703,525,0,0.308
asd_Flusberg_071001,1219,328,0,0.269
asd_Flusberg_071026,2249,739,0,0.329
asd_Flusberg_080012,1185,422,0,0.356
asd_Flusberg_080023,1528,630,0,0.412
asd_Flusberg_080121,637,247,0,0.388
asd_Flusberg_080221,1059,406,0,0.383
asd_Flusberg_080224,1534,520,0,0.339
asd_Flusberg_080422,1481,455,0,0.307
asd_Flusberg_080506,1027,355,0,0.346
asd_Flusberg_080700,1650,582,0,0.353
asd_Flusberg_080808,635,189,0,0.298
asd_Flusberg_080915,1399,463,0,0.331
asd_Flusberg_081118,1581,558,0,0.353
asd_Flusberg_090126,1087,281,0,0.259
asd_Flusberg_090320,1139,365,0,0.32
asd_Flusberg_090526,1400,530,0,0.379
asd_Flusberg_090818,1104,339,0,0.307
asd_Nadig_101,291,77,0,0.265
asd_Nadig_102,312,19,0,0.061
asd_Nadig_103,230,76,0,0.33
asd_Nadig_104,244,71,0,0.291
asd_Nadig_108,180,94,0,0.522
asd_Nadig_109,242,81,0,0.335
asd_Nadig_110,231,56,0,0.242
asd_Nadig_111,167,76,0,0.455
asd_Nadig_115,197,82,0,0.416
asd_Nadig_117,337,125,0,0.371
asd_Nadig_119,186,112,0,0.602
asd_Nadig_120,173,44,0,0.254
asd_Nadig_121,304,105,0,0.345
asd_Nadig_122,237,102,0,0.43
asd_Nadig_123,322,108,0,0.335
asd_Nadig_124,284,87,0,0.306
asd_Nadig_125,402,147,0,0.366
asd_Nadig_126,323,95,0,0.294
asd_Nadig_127,184,79,0,0.429
asd_Nadig_128,331,82,0,0.248
asd_Nadig_132,275,113,0,0.411
asd_Nadig_133,231,39,0,0.169
asd_Nadig_134,353,90,0,0.255
asd_Nadig_135,245,98,0,0.4
asd_Nadig_138,202,30,0,0.149
asd_Nadig_139,253,92,0,0.364
asd_Nadig_140,54,3,0,0.056
asd_Nadig_141,267,100,0,0.375
asd_Nadig_143,314,131,0,0.417
asd_Nadig_145,172,61,0,0.355
asd_Nadig_149,345,105,0,0.304
asd_Nadig_157,311,139,0,0.447
asd_Nadig_159,162,70,0,0.432
asd_Nadig_161,152,12,0,0.079
asd_Nadig_163,213,74,0,0.347
asd_Nadig_165,290,52,0,0.179
asd_Nadig_167,179,87,0,0.486
asd_Nadig_169,254,66,0,0.26
